Age,AnnualIncome,SpendingScore,OnlineShoppingFrequency,CreditCardUsage,CustomerValueScore,CustomerID,Gender
20,29997,50.0,2,4.75,20.342814874030136,41,Male
22,30004,64.0,7,7.31,23.46758832112703,42,Female
50,69994,84.0,1,8.21,43.41708247288562,43,Female
29,30000,51.0,1,5.59,21.180712049395506,44,Male
22,29998,44.0,8,2.74,18.458107653831767,45,Female
72,119999,31.0,3,8.44,26.188749529624616,46,Female
46,69996,62.0,10,5.34,37.459597026471684,47,Male
58,119998,39.0,10,9.51,32.7500228697935,48,Male
69,120004,22.0,10,17.62,59.745732859958245,49,Male
31,30000,50.0,1,4.8,29.273310669297924,50,Male
47,119997,11.0,6,6.87,38.241281751206266,51,Male
21,29998,54.0,1,10.77,13.314238945794042,52,Female
61,120001,34.0,10,3.12,32.573688351948405,53,Male
51,70008,76.0,1,8.49,58.78155408753867,54,Male
44,70005,78.0,8,15.31,40.44823053579264,55,Male
59,69995,78.0,10,18.52,46.769012805029206,56,Male
36,29999,51.0,1,10.38,14.161102243660325,57,Male
22,30005,58.0,3,6.41,14.231538593300709,58,Male
45,70008,77.0,10,9.89,46.19548752606909,59,Male
67,119984,42.0,10,27.72,56.63872553790612,60,Male
26,29996,47.0,10,7.14,20.789871561257257,61,Male
28,30005,52.0,1,0.5,25.98584013623927,62,Female
72,119997,23.0,1,12.92,57.84254259686866,63,Male
35,69991,70.0,5,12.49,42.27561850816107,64,Female
76,120001,24.0,3,1.09,47.860451996787134,65,Male
45,120003,25.0,1,0.48,55.99213263787616,66,Male
51,119992,37.0,10,14.74,36.569084604442935,67,Female
68,119993,27.0,1,12.56,60.083198774398454,68,Male
53,70002,74.0,5,14.42,37.221397275818134,69,Female
72,119995,24.0,8,13.29,44.56038008484547,70,Male
75,120000,20.0,5,3.22,46.53535588575478,71,Female
64,119976,30.0,2,12.47,19.932678322768297,72,Female
73,119991,17.0,1,17.2,61.39573662848416,73,Female
34,30003,48.0,1,2.48,23.063953707916447,74,Female
48,69991,73.0,10,14.88,55.040676199212015,75,Male
42,70010,74.0,6,0.13,47.96445766774564,76,Female
66,120012,35.0,10,5.53,42.16262597936761,77,Female
29,29992,45.0,1,7.75,28.553066862909624,78,Female
80,120015,34.0,9,6.72,41.50085530987011,79,Male
76,120000,50.0,2,3.94,41.26957408423178,80,Male
21,30008,56.0,10,6.42,19.852609424890314,81,Male
65,120013,19.0,1,16.36,43.44265397577446,82,Male
28,29993,44.0,6,3.88,9.991372593828567,83,Male
27,70000,86.0,1,4.53,48.2863407934053,84,Female
24,30002,48.0,7,5.78,25.41630888147152,85,Male
24,30002,47.0,6,6.89,16.33850225131456,86,Male
44,70013,70.0,1,6.99,59.583215311387924,87,Female
34,30000,46.0,1,8.45,17.144080129579066,88,Female
48,69997,71.0,9,5.42,53.82230984421404,89,Male
57,70001,73.0,1,11.83,56.11142505928938,90,Male
77,120006,29.0,9,26.43,28.400905777099837,91,Female
40,70011,79.0,10,12.41,51.646263291848605,92,Female
59,119981,46.0,1,7.4,46.27457214234366,93,Male
20,30000,47.0,1,9.28,17.511637382854804,94,Female
51,119997,31.0,4,15.21,39.48992132904805,95,Male
21,29996,54.0,1,7.36,18.19203849965327,96,Female
50,70005,75.0,1,1.44,51.561641954820054,97,Female
72,120010,28.0,4,23.86,45.26711460258228,98,Female
54,120013,34.0,1,12.35,33.041356830524904,99,Female
44,69999,83.0,5,7.6,57.34894084311794,100,Female
27,29994,49.0,5,9.53,16.433445498598942,101,Male
58,120000,44.0,1,11.7,40.736347616527866,102,Male
74,119989,51.0,1,0.17,48.3321912639778,103,Female
19,29998,59.0,8,9.46,26.083617462489734,104,Female
25,29998,51.0,3,8.63,15.130669231533716,105,Male
50,119998,36.0,1,7.72,42.17046975664984,106,Male
18,29998,55.0,5,6.14,28.323209109831375,107,Male
36,70004,67.0,8,10.42,40.75034240116991,108,Male
29,29995,57.0,1,5.93,30.952278129049894,109,Male
58,70002,70.0,5,12.75,55.66330671242804,110,Female
31,70011,71.0,7,14.76,56.972612018385256,111,Female
78,120012,36.0,10,12.73,21.63622212679266,112,Male
51,69998,77.0,10,21.19,55.86340907695418,113,Male
47,70002,62.0,2,11.55,40.89126681479939,114,Male
38,70005,54.0,6,8.94,41.043333969419045,115,Male
45,69988,67.0,1,13.52,43.126621136988135,116,Male
50,69999,62.0,10,11.37,47.3249139528242,117,Female
26,29994,51.0,7,1.42,20.76862552972764,118,Female
45,70004,66.0,9,6.64,57.736205099632265,119,Male
63,120006,32.0,10,27.45,50.02318448609159,120,Female
18,30003,55.0,1,1.78,21.473596264511507,121,Male
53,70005,71.0,10,21.58,52.92733422822642,122,Female
51,120009,38.0,10,28.63,24.51863335177726,123,Female
46,119988,11.0,1,25.79,35.99929064504611,124,Male
69,120004,21.0,10,8.42,47.30498681700332,125,Female
80,119994,17.0,6,14.83,32.310240109107355,126,Female
52,70001,66.0,5,4.11,51.62334767046197,127,Female
62,120001,29.0,10,2.95,32.150654306948624,128,Female
49,70004,69.0,6,10.01,69.567511445393,129,Male
24,30006,50.0,3,4.63,22.760622923649215,130,Male
28,70001,77.0,9,13.5,65.71861553327932,131,Male
55,69990,79.0,2,0.84,49.744669601547905,132,Female
24,30001,48.0,10,2.3,27.372301633034176,133,Female
29,29995,47.0,10,10.43,19.824840504235752,134,Male
35,70015,58.0,4,12.28,44.52789607551094,135,Female
63,120004,16.0,1,2.81,32.107186259906726,136,Male
25,30000,51.0,1,3.55,12.867680442881273,137,Male
25,30002,60.0,1,8.8,24.86550780507536,138,Female
24,30001,46.0,6,10.65,16.109526070836427,139,Female
52,70004,56.0,10,12.18,61.14957400678213,140,Male
20,29994,47.0,5,0.14,18.382486652875137,141,Female
27,30007,55.0,1,6.11,26.64466659767705,142,Female
49,69999,72.0,10,4.38,57.247636080964256,143,Male
43,70011,55.0,10,9.91,44.6034675419876,144,Female
41,70008,75.0,10,12.79,47.27117177666636,145,Male
69,120007,34.0,8,1.01,30.583467335308086,146,Female
19,30008,45.0,10,4.78,10.953661427058709,147,Female
80,120003,3.0,4,27.03,42.737962932256316,148,Female
43,70012,76.0,9,2.1,42.23617165175235,149,Female
69,120002,35.0,1,4.16,16.058955396758737,150,Female
31,29997,37.0,5,3.09,23.62037525372152,151,Female
25,30000,47.0,10,4.48,20.473692379164532,152,Female
19,30012,58.0,8,3.36,18.93895515049424,153,Male
49,120011,34.0,9,3.86,47.35795880200321,154,Male
20,30002,44.0,8,2.97,18.404959847635734,155,Female
48,69990,66.0,8,11.4,48.231343056409,156,Female
71,120015,0.0,5,14.51,39.549368138904775,157,Female
71,119997,32.0,1,16.91,38.5340788268824,158,Female
42,70008,49.0,6,3.1,49.931911847223226,159,Male
24,29996,42.0,9,2.14,20.853527413772532,160,Male
56,70012,56.0,7,1.6,47.916193603059654,161,Male
51,69993,71.0,8,12.98,40.039453968129216,162,Female
45,70006,84.0,1,1.79,49.2357367433957,163,Male
57,69998,43.0,10,9.01,35.067458537356835,164,Male
72,120009,22.0,10,7.69,40.87820266801215,165,Male
33,30004,48.0,8,0.68,17.671351232148716,166,Female
46,70002,83.0,1,1.76,55.38943677156753,167,Female
24,30004,54.0,1,6.23,24.104910462084554,168,Female
33,69992,79.0,3,8.76,50.589095376137635,169,Male
69,119997,34.0,1,10.89,42.14854684345898,170,Male
49,70000,54.0,10,6.78,42.779041669030136,171,Male
39,69991,67.0,10,4.35,20.947689488603253,172,Male
45,70012,73.0,10,3.19,50.77842263489477,173,Male
21,29996,51.0,10,2.08,20.30839924923986,174,Male
69,119995,30.0,8,4.43,31.14142237373423,175,Female
22,29997,50.0,7,4.18,22.750642406089398,176,Male
27,29997,45.0,9,2.48,17.552146764846643,177,Male
43,69997,76.0,1,0.18,56.36530163580149,178,Female
23,29999,49.0,8,1.16,18.047954067891833,179,Male
64,119998,49.0,10,15.37,39.03542918440723,180,Female
28,30000,41.0,1,6.36,20.83327908679922,181,Female
65,119994,36.0,1,14.61,52.16885873832257,182,Female
54,70021,61.0,1,27.48,53.41355873843499,183,Male
54,70012,70.0,1,0.05,52.68394921719512,184,Male
30,69999,75.0,1,6.14,43.56278377458865,185,Female
62,69998,59.0,1,6.07,60.87541534149523,186,Male
46,69994,67.0,1,17.47,60.69238435371387,187,Female
58,119995,43.0,1,26.73,47.68081540599813,188,Male
77,119998,41.0,10,20.09,41.477439688247166,189,Male
80,120021,35.0,7,14.59,48.16594259107355,190,Male
54,69993,77.0,3,7.59,33.197995491011085,191,Female
42,70007,72.0,1,17.12,56.37927494697526,192,Female
42,70004,73.0,10,12.7,53.266061648130034,193,Male
69,119990,14.0,10,0.81,38.189855292154014,194,Female
25,30001,45.0,2,3.02,19.0266815248766,195,Male
66,119983,26.0,1,26.9,31.868857407570058,196,Male
51,70000,82.0,7,5.99,55.36447992954135,197,Male
18,29995,56.0,5,0.88,18.682502635369808,198,Female
60,69996,62.0,9,19.1,44.89128884671848,199,Female
52,120024,32.0,10,19.43,14.620334612956047,200,Male
38,69994,80.0,1,3.34,52.75503091785448,201,Female
63,119999,31.0,1,7.23,42.704605138459314,202,Male
58,119986,39.0,1,13.8,32.48599929497388,203,Female
61,119989,23.0,10,5.35,34.47210108435637,204,Female
46,69997,66.0,1,4.24,32.56405598181612,205,Male
34,70009,68.0,8,15.11,49.94871026102527,206,Male
60,119984,21.0,1,32.38,39.73679800135066,207,Male
36,69984,68.0,1,10.38,53.470321269693194,208,Female
42,70003,59.0,8,7.45,48.658863473950966,209,Male
37,70010,64.0,10,4.62,48.57434633325637,210,Female
42,70004,69.0,6,9.18,41.734275215819856,211,Female
66,119990,43.0,1,17.09,47.28973763904766,212,Male
35,69994,70.0,10,12.31,57.771375089019145,213,Male
63,120008,37.0,9,2.99,31.392009005897407,214,Male
69,119998,23.0,4,14.07,30.791570478475727,215,Male
51,120003,44.0,10,14.79,44.07722476794104,216,Male
67,120000,54.0,10,6.95,38.011043583083406,217,Male
68,119997,16.0,1,15.26,59.43704824687018,218,Female
53,70012,58.0,10,3.01,55.97504075177886,219,Female
58,119993,34.0,9,9.18,35.1842064866248,220,Male
65,119985,40.0,10,1.36,33.71982147211922,221,Female
26,29992,64.0,8,4.05,23.075819921392903,222,Female
67,69983,60.0,10,6.07,50.07705538279297,223,Male
23,29989,56.0,9,7.35,11.28108176627303,224,Male
49,70010,64.0,3,3.99,47.8342742078666,225,Male
30,29999,66.0,10,2.09,19.468314987343426,226,Male
62,119992,29.0,1,25.37,53.22838367734741,227,Female
68,119990,32.0,1,9.63,27.00335169146991,228,Male
68,119992,24.0,3,5.48,37.055819150983936,229,Female
70,120001,30.0,9,8.05,30.822419578033333,230,Female
26,29995,56.0,4,3.15,12.474640628730983,231,Female
45,69989,76.0,1,4.77,55.04133511293602,232,Female
24,29998,66.0,10,5.07,18.83395750896803,233,Female
41,69988,83.0,2,1.01,46.444528895436626,234,Female
65,120005,34.0,9,12.55,36.69643942389233,235,Male
52,119980,24.0,4,0.88,41.74380398582543,236,Male
23,29997,48.0,1,8.63,28.009963273067065,237,Male
25,30007,51.0,1,9.39,21.061630703339496,238,Male
31,29992,53.0,8,3.2,12.485646956588052,239,Female
25,30001,58.0,8,5.69,25.36253668654901,240,Male
65,119999,21.0,10,10.71,42.44751920251661,241,Female
38,70004,79.0,6,0.52,47.50047887967156,242,Male
64,119981,29.0,1,8.24,41.700035983212004,243,Male
60,119996,5.0,4,5.99,32.81557202636224,244,Female
58,70004,75.0,7,14.89,65.31965046045127,245,Female
33,30004,48.0,5,5.83,24.834417083778717,246,Male
20,30008,54.0,5,9.76,12.437355173505622,247,Female
50,69993,84.0,10,0.75,46.201894065480985,248,Female
28,30002,50.0,10,3.42,17.06791360755721,249,Female
63,69995,69.0,6,13.89,53.24457895241441,250,Male
43,69995,71.0,4,15.06,42.97065523862686,251,Female
24,29991,42.0,10,0.66,15.46251809632004,252,Male
61,119989,33.0,10,13.57,32.86948140551849,253,Male
25,30003,44.0,2,5.29,30.491107372733737,254,Male
68,119998,19.0,1,8.15,40.14202103302422,255,Male
27,69992,69.0,8,7.63,48.361730770275415,256,Female
21,30009,49.0,1,1.2,13.49774885539043,257,Male
34,29996,47.0,1,6.06,26.01598679071188,258,Male
56,70017,71.0,10,1.56,47.7375837085684,259,Male
53,119989,38.0,10,4.23,48.59515174937911,260,Female
30,30009,50.0,1,2.31,8.866192375213869,261,Female
31,30000,39.0,7,0.31,12.580970724833383,262,Female
65,119995,30.0,10,8.85,45.408511070775575,263,Female
18,30000,44.0,5,5.89,27.5141354262479,264,Male
76,119994,31.0,10,11.89,44.84816191082663,265,Male
25,30004,46.0,10,12.83,19.80427986515829,266,Male
27,30006,43.0,1,1.56,16.081232394377857,267,Female
65,120002,47.0,1,9.24,46.38081711394597,268,Female
61,120003,35.0,1,4.68,31.933775745155504,269,Female
48,70003,54.0,1,22.43,45.20670465963254,270,Male
58,70009,55.0,10,14.59,50.91316735018624,271,Female
22,30000,51.0,8,3.07,20.95105479671421,272,Male
29,30002,50.0,1,5.15,21.038438435815557,273,Female
27,30003,52.0,1,1.33,19.851556048570107,274,Male
64,119993,24.0,8,19.92,44.131901450802275,275,Male
42,70006,57.0,7,21.95,51.261979173486175,276,Female
31,30006,48.0,1,2.74,15.636194646057309,277,Male
80,120002,44.0,1,0.08,39.14182239120306,278,Female
41,69993,73.0,10,2.43,45.203691316732126,279,Female
52,70003,66.0,2,11.99,50.296053442138515,280,Female
53,70010,73.0,10,6.76,56.137803709196675,281,Male
22,29993,52.0,5,5.5,17.331998467804166,282,Male
63,70020,60.0,1,2.44,51.029721610078724,283,Female
65,120004,35.0,1,27.54,29.1535860911096,284,Female
40,30000,51.0,10,7.57,20.190390096982295,285,Female
67,119980,26.0,10,19.29,49.604618631808776,286,Female
75,119996,30.0,1,8.02,39.52479760298041,287,Male
27,70004,75.0,1,7.52,54.12847427056156,288,Female
44,69994,67.0,5,20.21,39.30914855176376,289,Male
34,29996,49.0,10,6.34,16.50108627897702,290,Female
41,70005,75.0,2,10.89,42.451743066832464,291,Female
50,69983,80.0,1,13.15,60.33787339641813,292,Male
49,120028,46.0,1,17.19,48.296611600689694,293,Male
27,30000,53.0,1,11.28,29.624227475617605,294,Female
38,69991,71.0,1,12.36,48.963682070782994,295,Male
41,70011,61.0,5,1.93,35.383175767128165,296,Male
22,30002,52.0,6,0.25,16.641883160309742,297,Female
32,30006,53.0,1,5.44,21.202313724008516,298,Female
65,120003,27.0,5,1.7,39.37549242911157,299,Male
26,29994,52.0,1,1.28,18.63186194803366,300,Female
26,30003,51.0,1,8.38,20.60775041392577,301,Male
41,69996,86.0,8,0.28,46.87986599442167,302,Female
71,120010,41.0,5,23.69,33.2310156297898,303,Male
24,29995,47.0,1,3.53,26.8292831266567,304,Male
49,69997,85.0,1,17.81,62.57807468281217,305,Male
64,119990,25.0,1,4.61,30.339683431682708,306,Male
22,30005,55.0,10,1.26,22.376828053460052,307,Female
64,120011,35.0,1,12.11,26.579952890640584,308,Male
67,120027,36.0,10,1.34,55.52373367183563,309,Female
19,29989,48.0,7,0.49,14.733774199330643,310,Female
64,120009,15.0,1,0.45,46.57086476051217,311,Female
28,29994,50.0,9,1.93,22.75563302043478,312,Female
56,70007,64.0,10,7.0,58.48668508235275,313,Male
18,29999,51.0,1,2.44,22.807363149130666,314,Female
23,30010,56.0,1,2.72,21.815492163305194,315,Male
27,30006,49.0,1,2.68,21.02592445368092,316,Female
68,120008,44.0,10,11.93,41.86079939618717,317,Male
22,30010,54.0,10,0.68,22.025148022220964,318,Female
65,120010,18.0,1,1.11,28.96063394367072,319,Female
53,119996,12.0,2,0.73,28.322906476644462,320,Male
42,69998,61.0,10,18.42,51.695145771401265,321,Male
24,29996,54.0,9,1.58,26.77721400552748,322,Female
50,119997,25.0,6,10.26,43.26073527509594,323,Female
46,69999,69.0,9,16.91,45.105789917326646,324,Male
62,120015,50.0,1,1.66,39.56900505888909,325,Female
62,120011,28.0,10,8.46,37.94854603601857,326,Male
23,29999,40.0,10,2.62,34.66802853085636,327,Male
27,30003,60.0,1,5.37,15.368094350092308,328,Male
59,119993,23.0,10,23.74,44.72388199057037,329,Male
61,119995,25.0,1,2.99,33.5300911227401,330,Male
54,119990,23.0,1,18.04,66.01161759983059,331,Male
79,119995,43.0,5,8.25,31.468689876301983,332,Female
42,69998,77.0,10,3.45,41.06731176710373,333,Male
28,29990,46.0,1,1.77,22.077689969185013,334,Female
26,30003,51.0,2,0.15,12.801473516909823,335,Female
18,30000,53.0,2,3.37,16.864817454250776,336,Female
23,30004,43.0,1,0.88,20.39482022834042,337,Male
21,30001,58.0,9,0.46,13.2951398200936,338,Male
35,29994,56.0,10,7.27,26.458739253663154,339,Male
41,70008,68.0,8,13.14,50.416020302832045,340,Male
22,29997,55.0,1,8.44,21.67149981875504,341,Female
56,69973,66.0,1,1.99,49.407061820703156,342,Female
55,69992,80.0,5,8.68,48.748295922624536,343,Male
68,120005,23.0,1,17.53,45.5263480375429,344,Female
74,119992,30.0,1,27.69,28.113911603363466,345,Male
59,69981,77.0,1,8.04,61.310259230874834,346,Male
69,119978,46.0,1,11.41,35.945745830355136,347,Male
75,119998,25.0,1,5.96,48.49271356882666,348,Female
73,120004,32.0,1,10.16,51.139919561430446,349,Male
56,120015,37.0,4,3.03,39.44957034437631,350,Female
59,70012,63.0,1,7.02,50.37552092990137,351,Male
27,29999,53.0,10,1.83,18.8293152152541,352,Female
41,70001,67.0,1,12.06,40.012897502983584,353,Female
38,69991,63.0,10,14.29,52.17365642178459,354,Male
58,119995,18.0,1,18.3,49.029543753532614,355,Female
40,70001,66.0,1,15.1,49.04326626097713,356,Female
44,69988,66.0,10,6.02,42.783913915825366,357,Male
26,29996,48.0,2,1.89,19.489808995907676,358,Female
23,29993,53.0,10,15.83,21.932230917590232,359,Male
60,120007,4.0,1,2.87,39.165120496940624,360,Male
22,30004,46.0,1,4.37,19.085383507937046,361,Male
19,30001,50.0,4,2.36,10.590754772511804,362,Male
47,69999,69.0,1,0.49,48.09302294248379,363,Female
56,70009,66.0,1,9.66,37.79115022557001,364,Female
50,120016,55.0,10,5.51,44.53016708705408,365,Male
24,30001,47.0,7,7.8,21.498980857864648,366,Male
61,120014,23.0,2,6.54,67.74311459280096,367,Female
76,119999,37.0,10,1.69,44.32461207295807,368,Female
39,69994,79.0,10,0.57,51.0189499101862,369,Female
51,70001,69.0,7,5.64,48.32695116214685,370,Male
67,119998,37.0,7,20.15,22.484734256387313,371,Male
29,29990,46.0,1,0.69,22.275878349344122,372,Male
20,30002,46.0,5,3.32,11.034467737327116,373,Female
40,70003,79.0,2,2.21,58.11610132575907,374,Female
35,29994,50.0,1,0.48,15.409365082917127,375,Male
28,29995,47.0,3,0.02,27.643894178551538,376,Male
55,119994,34.0,1,8.11,16.048974301099264,377,Female
22,30001,60.0,2,2.2,14.329027884423652,378,Female
66,120001,40.0,1,9.68,23.07091324875723,379,Male
48,69994,67.0,10,10.44,44.554428646705674,380,Male
42,69998,79.0,10,1.53,54.45137055058897,381,Female
33,69999,67.0,10,11.4,48.13438375952654,382,Male
50,69995,89.0,3,0.29,55.65394077564278,383,Female
80,120003,37.0,4,2.06,43.549454194342886,384,Female
65,119998,20.0,1,20.39,50.94912318818435,385,Female
33,70001,73.0,10,9.76,46.402527013621444,386,Male
23,30003,56.0,3,0.94,25.769503671278734,387,Male
50,69994,56.0,1,5.55,53.97862744292177,388,Female
44,69984,65.0,9,5.23,55.089621275222264,389,Female
66,120008,29.0,4,19.2,24.157625552359455,390,Male
25,29996,49.0,5,5.2,27.503304247300154,391,Female
27,29997,54.0,7,7.06,23.14814420961806,392,Male
31,30002,45.0,1,3.51,8.429779669999473,393,Male
26,29997,38.0,4,10.11,24.631077011207964,394,Male
18,29998,50.0,1,9.94,20.711889562552333,395,Male
18,30003,52.0,4,1.42,23.469916201635186,396,Male
21,29998,49.0,1,11.36,15.493121600514128,397,Male
25,29995,49.0,10,3.0,20.145918790277065,398,Male
71,120002,23.0,1,2.65,37.95847579296316,399,Male
61,119995,39.0,1,3.6,44.11158251532367,400,Male
64,120003,35.0,4,24.28,39.447771278679575,401,Male
29,30002,51.0,10,12.62,15.234797683175751,402,Male
44,69989,79.0,1,1.19,48.402407344494854,403,Male
22,30001,43.0,7,6.38,17.09560430911351,404,Male
33,70007,74.0,1,4.33,40.92597837475152,405,Male
56,119973,32.0,1,24.0,43.009889347739396,406,Female
62,119982,23.0,8,8.14,53.477981455675604,407,Female
27,29993,57.0,1,6.87,20.589750854462707,408,Male
22,29999,57.0,8,5.14,11.15244881823764,409,Female
79,120011,37.0,7,11.4,43.69933073225029,410,Female
57,69998,63.0,10,6.96,36.36377806078934,411,Female
57,69996,65.0,10,3.06,46.69425383772234,412,Female
76,119998,35.0,10,9.51,33.14814763801027,413,Male
29,29998,57.0,10,4.06,21.20290378863296,414,Male
59,119994,37.0,10,2.22,47.50980986445438,415,Female
62,120010,35.0,1,4.53,27.29973814703129,416,Male
24,30000,45.0,6,5.59,25.234772672141048,417,Female
56,69978,89.0,6,24.85,63.85320347234305,418,Female
42,69988,62.0,7,8.28,48.686078943398705,419,Male
26,30001,50.0,8,0.98,26.997089633269415,420,Female
38,70006,81.0,6,7.84,53.4301745679132,421,Male
30,29994,41.0,10,3.97,20.92059699164085,422,Male
25,30001,37.0,1,1.23,20.754338142557813,423,Male
23,29994,44.0,1,0.71,18.07888692584131,424,Female
26,30004,53.0,3,2.65,17.442812356087302,425,Female
24,30002,45.0,5,2.39,16.311908187132808,426,Male
40,69993,78.0,1,9.02,46.088468622721884,427,Female
29,29999,49.0,7,7.08,23.01236718141182,428,Male
26,30005,52.0,9,2.82,17.55931859928938,429,Female
55,119997,22.0,1,7.9,49.88749048130383,430,Male
38,69996,78.0,1,9.76,51.740524239715164,431,Male
58,120012,34.0,1,4.88,39.69640919876763,432,Male
35,29996,50.0,10,7.76,18.36092344880321,433,Male
35,69999,64.0,6,4.17,47.48448097588788,434,Female
57,70001,66.0,6,7.26,27.242775036540365,435,Female
21,30000,50.0,2,2.12,18.571567259538682,436,Female
36,70013,70.0,10,14.36,42.25647828581614,437,Female
22,30004,50.0,4,4.24,18.044218138735786,438,Male
50,120011,34.0,1,26.36,45.93298252242056,439,Female
36,30003,40.0,6,0.31,24.26216667398112,440,Male
61,120006,29.0,1,0.2,35.65377725348958,441,Female
28,29995,51.0,1,0.01,21.598909670712686,442,Male
55,69995,68.0,10,6.81,53.05209960800864,443,Female
80,120009,33.0,4,2.49,33.68686046911759,444,Female
44,69986,65.0,10,7.95,55.7231889446937,445,Male
61,119982,20.0,1,4.05,63.88355616518678,446,Male
54,119997,40.0,8,14.02,23.307711920598905,447,Female
35,69994,70.0,1,7.36,48.44449498211484,448,Male
39,70006,61.0,5,19.93,45.13726234858812,449,Female
18,30002,41.0,1,7.38,19.569651536045534,450,Female
42,70002,82.0,10,1.01,54.737961733146754,451,Male
55,120001,25.0,10,8.13,33.9995071948914,452,Male
57,69994,63.0,10,13.95,40.452035311286785,453,Male
18,29995,48.0,9,2.92,19.63967894749743,454,Male
57,119981,24.0,1,13.36,47.24095872207859,455,Male
26,30000,52.0,6,4.9,18.44266402550399,456,Male
23,30003,47.0,8,0.59,29.16059803788651,457,Male
61,120010,22.0,10,18.2,46.426194115766066,458,Female
75,120020,40.0,1,14.38,56.2315816340481,459,Male
46,70001,78.0,10,10.16,42.00683057440569,460,Female
46,69979,63.0,10,11.24,42.386777411062305,461,Male
68,120000,29.0,10,19.84,41.5431949340599,462,Female
48,70016,58.0,1,3.89,58.24677664394996,463,Female
19,29995,58.0,1,2.77,25.686572711823647,464,Male
76,120000,28.0,1,20.7,41.164273608244926,465,Female
21,30005,50.0,5,3.01,15.049931430484303,466,Female
49,69985,62.0,10,7.29,52.30992949277914,467,Male
29,30005,50.0,5,5.32,22.83997269762121,468,Female
22,29999,46.0,1,4.55,13.632072257017004,469,Male
47,69996,65.0,1,2.84,43.15456826779358,470,Female
76,119992,34.0,7,14.89,40.01491140400627,471,Male
55,70010,82.0,7,14.3,49.60928487099144,472,Female
45,70008,66.0,4,14.43,30.282604122645825,473,Female
32,30004,54.0,8,9.49,14.56260915943816,474,Male
22,30008,54.0,1,3.15,32.38464566861706,475,Female
45,70009,51.0,9,3.68,43.98003173975507,476,Female
49,69994,69.0,6,13.67,46.278697062356635,477,Male
57,69998,67.0,4,1.62,63.8717955877373,478,Male
18,29992,52.0,5,1.95,18.157115466299317,479,Female
55,70016,73.0,10,0.46,51.72753459786989,480,Female
27,30003,48.0,10,3.13,12.6781255989509,481,Female
25,30002,54.0,10,0.97,22.497073039695348,482,Female
80,120000,43.0,1,5.29,46.79481150445372,483,Female
18,29993,46.0,10,1.32,17.351979755988538,484,Male
35,69992,53.0,4,11.89,61.930214908851895,485,Female
64,120002,19.0,1,4.56,45.214600685103626,486,Female
26,29998,49.0,9,2.2,29.725975371384664,487,Male
39,70001,77.0,1,6.5,55.31231911932147,488,Female
37,69986,56.0,10,2.53,47.19204686720449,489,Female
47,70008,72.0,3,6.08,57.65798969782301,490,Male
38,70011,59.0,10,3.75,62.50258612515,491,Male
20,30001,50.0,5,0.41,17.100724092683357,492,Male
71,119998,19.0,10,12.11,53.610124166257044,493,Male
77,119995,29.0,1,2.63,52.292411573561054,494,Male
39,70008,87.0,10,4.1,56.4052230489027,495,Male
