education_level,experience_years,hours_per_week,age,gender,marital_status,location_index,income
20,20,38,39,0,1,4,77101.67095199683
20,23,47,21,0,1,2,83068.75777116061
13,17,38,24,0,0,0,68105.45501951501
18,20,36,57,0,0,4,72095.27071066941
14,9,37,25,1,0,0,47643.31167959553
18,23,37,52,0,0,1,73000.46274853744
20,39,42,26,0,1,1,106528.0537800686
15,20,59,30,1,1,4,77808.98820378924
12,24,28,56,1,1,0,77361.21427746874
13,22,48,37,0,1,0,62267.01231144706
12,21,48,38,0,1,3,61806.11502817125
16,3,21,64,0,0,2,53022.10516443922
16,33,36,36,1,0,4,76632.8178114803
18,5,50,19,0,0,0,46824.773456239185
20,27,47,61,1,0,2,97335.79048692907
20,30,58,57,0,1,4,90150.02955082491
14,34,49,47,1,1,0,83915.28986155818
14,38,54,40,1,0,1,101595.866066515
14,22,39,57,1,1,0,61024.71231481462
15,5,35,30,0,0,1,33966.33044593553
19,15,53,50,0,1,1,75200.22490068746
17,1,33,49,1,1,3,54438.08417101434
19,23,45,45,1,1,3,91366.01780065728
12,16,39,41,1,1,2,45127.2375024951
19,0,43,59,0,1,4,57633.47003647912
15,5,37,45,1,1,2,48094.92124703163
12,4,28,47,0,1,3,35120.99626298392
19,28,38,58,0,0,2,85158.75353670372
15,11,39,46,1,0,4,61377.702923773046
17,38,49,51,1,1,4,106465.63073359335
19,2,45,39,0,0,0,55645.8367782002
15,0,50,42,0,0,2,36630.20062483377
14,26,54,31,0,0,3,74542.64696187801
20,23,22,27,1,0,0,83891.85102612844
14,18,59,27,0,0,2,60497.98340468875
20,7,48,25,0,1,4,64698.90164463879
13,1,25,31,1,1,3,30498.69591967468
13,29,20,62,0,1,2,88551.39438731722
13,29,43,55,1,0,4,91967.52462982855
17,38,57,49,1,0,4,100740.82927310499
14,31,53,62,1,1,2,87972.37953867698
20,0,26,49,1,0,2,49533.85461443785
15,37,30,20,1,1,3,93031.30322944683
12,12,30,37,1,1,0,44453.93669878971
15,10,55,30,1,0,4,57224.05564235374
12,9,39,40,1,0,0,38197.83299230629
16,25,35,36,1,0,0,84563.33171003466
15,19,24,33,0,1,4,74853.51975342339
19,16,43,53,1,1,2,80182.66328162135
19,16,49,52,0,1,4,81452.65883055344
18,3,49,64,0,1,0,54731.45752372279
14,4,58,64,1,0,3,43474.736905562706
12,22,56,24,1,1,4,62251.287869101274
12,9,52,54,1,0,3,44747.243751247945
14,27,39,25,0,1,2,78560.12715733699
17,32,41,42,1,1,2,85673.57382628496
18,25,40,40,0,1,3,84171.85751509262
17,28,56,27,0,1,3,89141.45686981948
17,26,46,47,0,1,4,83737.01607370273
17,17,57,50,1,1,2,72285.36804250476
14,39,54,28,1,0,3,110273.43769369274
17,9,57,52,0,1,1,58401.295526618174
19,4,59,44,0,0,4,58237.986132603
13,9,25,20,0,0,4,52281.55984931984
16,20,51,64,0,1,1,77945.31322961564
12,23,35,25,1,1,2,71074.6589787317
12,37,47,30,1,1,3,91573.76210035749
16,2,35,59,0,0,3,46707.80691366696
14,39,46,20,0,0,2,85000.4071142002
15,30,22,37,0,0,1,89537.28723954735
14,36,40,63,1,0,1,89777.35778146736
12,1,57,62,1,1,1,42752.87953067042
12,1,57,52,0,0,4,36987.20019162343
16,38,49,30,1,0,3,114973.76809742727
17,33,41,37,1,0,0,87420.96409620965
14,19,38,41,0,0,4,78211.62732550119
20,32,50,26,1,1,4,98742.59934101261
16,3,39,47,1,1,3,51411.85644359741
19,10,38,42,1,1,2,63146.83875102427
12,4,21,33,1,1,3,46268.64552782491
16,24,59,25,1,1,2,79452.74369337222
14,36,58,61,1,0,3,97391.55139639814
12,33,46,45,0,0,4,85016.11733012798
15,8,27,29,0,0,1,50550.351472227834
16,5,46,41,0,0,4,45544.18274998791
18,17,34,46,1,0,4,61330.11310731903
12,13,31,32,1,1,0,52964.6390784726
14,18,33,35,1,0,4,75557.0033184417
13,13,26,24,0,1,4,51264.53672001492
20,39,36,30,0,1,4,111639.45033518926
17,16,45,36,1,1,0,59477.272746741495
14,34,56,60,1,0,2,89018.71108637888
19,28,39,22,1,0,0,86901.62389794386
19,16,29,43,1,0,1,69890.1969162201
13,7,38,19,1,1,2,50306.413573783015
17,0,37,50,0,1,0,33116.432026371614
18,35,49,54,0,0,1,97570.0942526721
13,6,49,42,1,1,1,42329.83258306522
13,4,44,42,0,1,3,37804.73017556323
12,23,43,56,1,1,3,67224.06842649092
19,27,29,47,0,0,4,89322.7871338607
12,16,21,58,1,1,2,58371.49239077426
20,36,57,21,1,0,0,101396.69211518682
17,19,51,36,1,0,4,67521.58501665191
18,2,54,44,1,1,2,49485.47494562887
18,36,56,64,0,1,3,108954.8066688499
14,25,26,56,1,1,0,65865.64470541783
13,14,26,41,1,0,1,51011.26064715542
20,7,46,54,1,0,1,55386.93415173092
19,12,29,42,1,1,4,61036.26102378363
18,2,52,46,0,1,4,49967.91401246817
20,0,26,48,0,0,0,43238.889279154966
15,8,25,62,0,1,1,46375.78480336751
15,30,25,52,1,0,4,85555.78082416179
12,25,32,45,0,1,1,61663.89358655631
19,16,32,55,1,1,3,83180.28837444256
14,33,21,61,0,1,4,84945.74651651878
18,8,38,21,0,0,2,53004.063116172445
13,12,38,45,1,1,4,53985.63971832255
13,4,57,48,0,1,3,39293.13764793032
18,12,21,40,1,0,0,66557.81851261787
17,0,45,31,0,0,1,42967.07171247763
14,24,25,45,1,0,0,58567.99585821469
20,3,39,31,1,0,4,48489.900748853885
17,35,42,18,1,0,2,91315.59582627538
17,9,34,60,1,0,0,59869.82313179419
12,27,25,49,0,0,2,78274.42041931603
15,5,47,58,1,0,4,49957.96969069991
17,26,54,35,0,1,2,91047.17664689982
17,11,30,22,1,1,2,62028.22847680954
16,2,27,59,1,1,3,56738.10290785563
12,32,43,32,1,1,0,77561.0016944085
19,9,40,59,1,0,4,62002.89612881895
16,30,55,33,0,0,3,88308.75552065099
16,14,26,53,0,0,2,57548.12142961588
18,6,24,53,1,0,3,58651.446070673286
15,35,48,57,0,0,3,87779.42238364261
17,13,35,47,0,1,2,55260.3469977842
15,13,25,55,1,1,4,60420.62230398459
14,2,33,40,0,0,1,45600.873214682586
18,2,21,28,1,1,3,49400.60997135467
19,21,44,42,1,0,0,82342.30523704241
15,18,50,62,0,0,2,76698.43647981512
13,34,32,60,0,1,1,88363.41827692627
14,11,37,19,1,1,3,51591.4123043243
12,4,36,52,1,0,2,47440.260522089724
19,9,47,64,1,1,2,69050.265816652
14,32,31,41,0,0,3,80811.74420920169
18,12,54,30,1,0,0,58552.5365232176
16,34,41,59,1,1,2,94456.12138816982
16,31,58,54,1,0,2,95514.76229447336
18,10,20,47,1,0,3,54997.644407963584
20,37,56,28,1,1,1,106212.6053390284
16,23,40,40,0,0,2,79628.64312164045
12,34,20,63,0,0,2,82206.42800247949
12,18,23,45,0,1,3,60909.05165081202
13,5,51,46,0,1,2,46629.82333051967
17,39,20,32,0,1,3,103424.87004036039
20,34,32,62,1,0,0,100558.8185758984
19,3,36,20,0,0,3,49177.45852258669
16,32,31,26,1,1,1,92463.03366491504
12,12,26,25,0,1,2,35672.08032267244
18,35,22,64,0,0,0,100123.12175687053
16,18,45,50,1,1,2,73316.75968462368
17,11,50,51,0,0,2,68597.09625795764
18,10,55,26,0,0,3,63554.75213919554
14,5,45,34,1,1,2,40434.007234440985
14,11,22,58,0,0,0,51852.387392699835
16,26,47,18,0,1,4,75542.10182771049
17,24,36,57,0,0,2,85292.21156857787
20,2,57,22,1,0,3,41253.877290117496
16,2,49,47,0,0,1,36351.637845971556
12,19,21,28,0,1,2,52737.32737375258
15,27,27,45,1,0,3,71760.42404961493
16,22,33,55,0,0,2,72474.85199411314
16,2,56,34,1,1,4,45524.99958924624
18,23,54,40,1,1,4,87544.59544633614
15,39,58,35,1,0,0,88551.87852787125
12,5,30,54,1,1,4,40439.504276143794
16,19,34,44,0,0,3,70823.39555460341
18,10,21,42,0,0,4,54602.62762907171
17,31,56,22,1,0,3,82697.22635157518
16,26,51,36,0,0,2,83909.52972136393
15,20,59,44,0,0,0,72266.7040847837
13,12,32,30,0,0,0,38989.31821255147
15,21,36,24,1,1,4,69175.14439425564
14,34,34,43,0,0,1,83469.2223073531
12,21,52,31,1,0,4,76060.79909665624
19,27,35,44,1,1,1,78274.0624281147
16,20,32,25,0,0,4,67750.16068231271
15,17,41,48,0,0,3,69340.21653645809
19,30,42,52,1,0,3,93861.6952443303
18,36,55,44,1,0,1,106072.7174099896
13,20,29,21,1,1,0,52166.03980306417
12,13,36,59,0,0,1,46076.6151753716
15,24,49,21,1,1,2,73904.80504608783
19,26,32,35,0,1,0,85943.1637491085
13,39,49,40,0,1,1,93820.25937484449
14,22,49,49,0,0,2,74278.82234576227
12,30,26,29,0,0,2,73635.93721162018
12,28,29,37,1,1,4,69612.18900410026
14,29,54,64,1,1,1,86981.43306453589
16,25,21,62,1,0,3,72008.16718672101
14,19,49,29,1,0,4,62677.085715054534
12,37,38,25,1,0,0,79457.70671996169
12,18,58,39,1,0,3,63933.54464361092
19,26,56,44,1,0,2,88118.37107041181
13,24,22,58,0,1,0,63649.85562089741
14,39,44,58,1,1,4,95871.63824159422
13,37,53,34,0,1,2,89659.72608145347
14,22,41,49,0,0,2,73588.66254987268
18,28,57,50,1,1,2,90740.58910925972
12,14,33,48,1,0,3,56665.20534363608
19,2,58,23,1,1,4,55103.893720345375
13,9,21,56,1,0,4,49772.696903724114
14,14,51,26,0,1,3,59846.23083551777
20,15,22,59,0,1,4,72007.64929416074
18,16,27,49,0,0,2,75388.25109660153
15,18,45,53,0,0,2,69784.94772582976
16,10,51,33,1,1,2,66810.78890895267
13,4,30,29,0,1,4,46960.741379909865
19,4,20,58,0,0,1,50346.91798572387
15,13,34,20,1,0,0,54516.20847032629
20,25,23,44,1,0,1,76731.13891629364
16,7,23,44,1,1,3,46370.57553002111
20,4,47,26,0,1,1,59028.99216980623
15,6,29,34,1,0,1,51126.47209390999
16,15,30,63,1,1,3,56037.741818315924
20,13,42,22,0,0,1,72736.57317338936
19,36,22,43,1,1,0,105062.52691764495
14,3,58,38,0,0,4,49729.45514384464
12,35,58,18,1,0,3,89401.38245855377
14,16,36,18,1,1,1,61779.78696645153
15,35,41,52,1,0,2,92233.92543719761
13,5,46,26,1,0,2,39415.115351050925
12,15,35,40,0,1,3,61477.82578632532
18,28,35,55,0,1,2,86489.5495914745
19,35,59,58,0,1,0,82330.37116459897
18,37,22,21,1,1,1,100682.21159295755
16,36,52,36,0,0,0,88811.86043077217
12,9,21,54,0,0,0,44679.89924309185
18,35,58,22,1,0,4,108158.0337847707
18,28,46,45,0,0,1,97411.3926037535
20,13,34,63,0,0,3,73508.25705106693
14,3,26,59,0,1,2,48297.65094257353
20,35,28,40,1,1,4,106524.55783656467
12,12,25,55,0,0,0,52922.9519606757
12,17,31,40,1,1,2,63296.73405754786
15,32,49,63,1,1,1,84799.9921470118
20,20,39,35,0,1,0,70797.84641770808
17,15,39,46,0,1,0,69647.20722443449
14,14,46,45,0,1,1,59931.54420112424
12,4,39,26,1,0,3,39875.845656289806
15,5,26,56,0,1,4,45507.287136381055
20,37,59,27,1,0,1,103469.4609840457
14,2,59,19,0,0,2,46103.501506756686
20,11,49,30,1,0,2,61955.78800904153
18,35,27,55,0,0,0,95666.90040962034
15,32,21,44,1,0,4,83478.91206889423
14,35,33,58,1,1,3,84272.33962640558
16,32,29,37,1,0,3,89495.13343169245
16,30,37,57,0,0,2,90364.7917830975
14,20,37,27,1,0,3,61647.63548782876
20,26,35,33,1,1,2,84488.30127956024
15,26,24,32,1,1,4,72340.63118591633
16,7,50,30,0,1,0,51065.63673389126
15,36,56,55,1,1,2,94469.5282298946
16,31,39,37,1,0,4,78548.92845565784
18,25,42,41,0,0,2,80610.26822611947
20,1,51,58,1,0,1,58142.26146697901
18,11,36,24,0,0,2,65215.220720624144
16,21,32,40,0,0,4,78745.47093954164
18,16,32,41,0,1,3,64111.784750339095
16,6,36,46,0,0,2,43749.73183604082
14,3,34,22,1,1,0,35922.0374443945
18,36,45,60,0,0,4,106964.3991976876
13,37,47,62,1,1,3,99449.55906199841
20,31,49,52,0,1,4,98874.43384583492
12,10,54,18,1,1,2,54331.12092977325
17,0,41,53,1,0,1,47074.891563221165
18,24,29,35,1,1,1,77489.172271286
19,23,30,23,1,0,0,76614.81906312711
20,16,57,40,1,0,0,67558.06327826375
13,7,52,27,0,1,3,45840.194773027215
13,26,25,24,1,1,1,68572.92911963662
16,17,56,61,1,1,2,65866.34833789837
16,26,26,25,1,1,4,76218.12832816603
17,21,31,30,0,0,4,81272.07745892472
14,15,26,47,0,0,1,55245.227541044114
19,1,21,35,0,0,1,52985.97569082194
12,4,20,31,0,1,4,38067.57828647642
17,17,42,28,0,1,3,67395.40011945892
15,2,44,59,0,1,4,48027.97170843066
12,26,37,55,1,1,0,60679.134234288205
18,16,26,30,0,0,2,76807.71659214178
20,15,22,59,1,0,1,75895.66936563914
15,5,48,61,1,0,1,49910.71137807291
15,6,29,50,1,1,3,53568.260680315194
17,13,24,30,1,1,0,60073.19136470043
14,37,53,42,1,1,4,93424.81900504924
17,39,27,41,1,1,0,99863.08349361895
18,14,33,46,0,1,0,62371.56355423676
14,32,59,53,1,0,3,84746.54785549066
18,26,25,23,0,1,3,79965.70967263072
14,28,20,35,1,0,4,79663.2789584675
13,36,52,45,1,1,4,94877.30111699412
15,4,59,22,1,0,2,53112.36404565249
19,28,30,35,1,1,0,85753.49764268291
20,31,43,54,0,1,4,94888.53295850339
18,5,29,24,0,0,3,44132.988390077764
12,1,42,26,0,1,2,35891.08213468005
14,5,35,52,0,1,2,52352.33704714706
20,3,56,29,1,1,3,54065.46655367414
12,28,35,63,1,0,4,75525.1178953231
20,24,50,57,0,1,3,92485.59966974119
19,8,25,61,1,1,4,56362.20940971752
12,2,49,56,1,1,3,48080.740159471716
17,25,56,41,0,1,3,82602.17224979737
16,26,20,26,0,1,1,78158.47366399027
17,35,44,29,1,0,4,97208.62106051808
16,31,40,53,0,0,0,74214.7381604962
17,0,54,54,1,0,1,45089.45884122928
16,15,57,26,1,0,1,62068.97701639765
16,10,24,56,1,1,1,58028.30595175973
15,25,31,63,1,1,1,83553.88534064275
14,39,24,39,1,0,0,95485.17809469251
14,0,28,34,1,0,1,31890.0655319133
15,25,28,50,1,0,0,83535.3303703547
20,27,54,64,0,0,0,91245.7380804527
13,8,20,41,0,0,1,50383.482727202674
20,21,29,32,0,1,2,83270.23215361472
12,7,58,46,0,0,0,38997.90913969341
12,26,55,49,0,1,1,78921.90607864418
16,38,56,50,1,1,3,106538.63095746885
17,18,54,46,1,0,3,73567.10448716025
17,24,36,32,0,1,4,77226.62306125191
14,37,32,44,1,1,0,95793.57705811458
18,20,25,51,0,1,0,78046.88692884897
20,23,56,21,1,1,3,83332.55014779589
19,23,51,35,1,0,0,84429.63657305986
17,18,30,38,1,1,0,66857.00321930838
19,1,36,25,0,1,3,44953.99124379348
16,13,24,23,1,0,1,59602.483258371954
19,31,25,37,0,0,3,96005.39653488403
15,31,29,19,1,0,2,85913.44971290162
19,27,52,62,0,1,3,90572.38143062331
13,38,49,39,0,0,3,87386.12718053763
16,39,40,38,0,1,1,97191.61332626727
20,39,36,23,1,0,3,108903.24417066576
15,12,46,49,1,1,3,70890.66011684661
17,11,22,23,1,0,1,51377.514421872365
12,7,48,30,1,0,3,44222.44440574627
20,14,21,18,0,1,1,64932.17284687278
12,25,48,39,1,0,2,60616.448436001876
16,11,55,41,0,0,1,55029.22465574003
15,26,53,58,0,1,0,73470.63658891992
14,17,56,47,1,0,0,61848.2518799686
17,35,20,39,0,0,1,99837.16545234722
13,26,45,61,1,1,3,81258.59644045208
14,8,20,29,1,1,4,49488.491991252595
16,38,23,43,1,0,4,108288.98241273053
20,0,58,21,0,0,2,55928.688472840935
13,6,33,36,1,1,2,40064.59035983435
19,25,37,33,0,1,4,76004.90802529223
13,6,53,29,1,0,4,34811.25363989836
16,6,20,50,1,1,1,44801.18416899693
18,7,41,38,1,0,4,54602.81380140204
19,15,35,53,0,0,0,75976.26185300208
12,2,41,26,0,1,2,41090.48119918269
17,9,35,56,0,1,2,61976.68240583952
12,6,47,59,1,1,0,41403.271153888665
13,20,47,62,1,1,2,67616.62109347562
12,36,41,25,0,0,4,84860.50528973738
16,30,25,37,1,1,2,96383.11147555501
20,22,44,27,1,0,0,77428.21299009176
17,26,21,49,1,0,2,77451.72990392706
12,21,26,45,1,0,4,68324.62105384067
12,38,36,27,0,0,1,82645.9043342669
13,26,54,25,0,0,4,77989.08593711926
20,3,39,64,0,1,2,56866.28603509207
14,23,21,50,0,1,3,67492.9850878772
12,22,26,64,1,0,2,65399.586706905466
16,18,51,30,0,1,2,64171.91470919085
18,2,38,61,0,1,0,53250.15057822045
17,26,31,52,1,0,3,82622.27283480002
12,2,28,46,0,0,0,32410.049581027084
16,27,46,22,1,1,0,84407.23931192365
16,16,33,20,1,0,4,68076.02599460511
17,30,21,54,0,1,1,87790.9562329209
14,9,40,58,0,1,2,57260.552749678216
16,21,23,23,0,0,3,68962.13355869747
18,29,40,59,1,1,2,86657.71850000494
16,20,41,33,1,1,0,70980.873505879
16,35,21,52,0,0,1,91281.6965345166
16,22,36,35,1,0,0,79582.1369070998
14,37,38,28,0,1,2,90122.04482637385
12,11,59,40,1,0,4,61350.24558550973
16,24,43,64,0,1,2,73245.94687833847
20,19,39,28,1,0,0,74459.45077826914
12,6,57,46,1,0,3,43902.09762095233
14,28,31,59,0,1,3,78813.30859777352
15,28,44,44,1,1,3,89207.04953376527
12,12,42,26,0,1,3,48562.10242589259
12,2,53,52,1,0,3,44518.19952863198
19,1,51,26,0,1,1,47453.92194993699
13,15,43,35,0,0,1,55811.03095004156
19,29,44,61,0,0,4,86884.36547838885
18,37,22,38,1,1,3,106612.39188541149
13,5,44,53,0,1,0,50307.85241544408
17,6,47,18,1,0,0,43890.79459135618
17,4,31,44,0,1,2,56599.98855859493
14,6,45,62,1,0,3,42342.828694466545
13,33,27,57,0,0,0,81917.90152592807
12,31,24,55,1,0,4,80594.18495390775
17,12,30,46,1,1,0,58669.57674975974
16,29,54,57,1,0,4,94703.8285314789
20,24,46,36,0,0,3,89317.42256830828
12,20,57,41,0,1,2,56383.91658999514
18,20,38,61,1,1,2,84940.94440938998
16,27,51,18,1,1,1,89608.54331921635
16,19,47,53,1,0,3,75933.97065264986
13,33,55,40,0,1,0,82954.3333633538
14,4,37,30,0,0,2,42598.899656523565
18,17,29,47,1,0,4,70537.85126424028
17,38,51,54,0,0,4,108109.1029518261
13,10,37,28,0,1,0,38479.087800608286
17,16,31,24,0,0,0,65022.0548927672
13,21,27,52,0,0,3,72233.92725185215
13,36,52,28,0,1,0,86713.33587423898
13,19,57,60,1,0,0,68759.76508257347
14,5,33,64,1,1,0,36634.89532222283
13,33,21,57,0,1,2,79291.98656210524
